unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-29,F,HU,,8.1,10.7,11.2,15.9,17.3,21.6,25.4,30.5,28.6,25.9,24.0
PC,NONE,Y16-29,F,IE,4.9,4.8 b,7.2,6.1,5.6,8.9,11.2,11.4,11.8,12.3,8.5,8.4
PC,NONE,Y16-29,F,IS,,,,0.0,1.5,1.7,1.0,0.5,1.4,2.0,2.7,1.5
PC,NONE,Y16-29,F,IT,6.8 p,7.3,7.4,9.2,9.9,12.4,12.3,11.7,13.8,16.3,11.9,8.3
PC,NONE,Y16-29,F,LT,,7.6,8.1,9.7,10.1,10.0,13.4,12.3,15.1,16.0,13.6,16.4
PC,NONE,Y16-29,F,LU,,1.4 b,1.2,1.4,0.9,1.4,2.7,1.1,1.4,1.5,1.9,0.3
PC,NONE,Y16-29,F,LV,3.4,6.0,4.8,6.4,9.4,10.5,13.4,16.3,17.6,24.9,30.2,25.1
PC,NONE,Y16-29,F,ME,,13.4,12.3,13.7,13.2,14.6,14.9,14.4,9.4,,,
PC,NONE,Y16-29,F,MK,,26.4,30.1,30.5,30.7,28.0,27.2,34.3,37.9,38.4,37.1,
PC,NONE,Y16-29,F,MT,,1.5,3.8,2.0,1.9,3.9,9.6,10.6,11.5,9.9,8.2,7.0
PC,NONE,Y16-29,F,NL,,2.3,1.7,1.3,2.4,2.0,2.0,2.8,3.3,2.3,0.9,3.5
PC,NONE,Y16-29,F,NO,,0.5,1.9,1.7,2.4,2.2,1.6,1.3,3.1,3.0,3.2,2.5
PC,NONE,Y16-29,F,PL,,2.3,3.1,3.2,5.6,6.2,7.3,8.7,11.5,12.4,11.9,13.7
PC,NONE,Y16-29,F,PT,,3.4,5.0,5.4,7.2,9.6,9.2,11.8,11.1,8.9,9.2,7.1
PC,NONE,Y16-29,F,RO,15.6,15.2,14.0,17.8,19.9,25.2,22.3,25.7,29.1,32.7,29.8,28.4
PC,NONE,Y16-29,F,RS,,12.4,16.0,14.4,15.4,17.8,21.4,24.4,26.2,,,
PC,NONE,Y16-29,F,SE,0.9,0.6,1.2,1.7,0.7,0.0,1.0,0.3,2.4,1.4,1.8,1.9
PC,NONE,Y16-29,F,SI,,3.6,1.4,2.6,3.7,3.5,4.6,5.9,5.0,4.0,4.3,3.7
PC,NONE,Y16-29,F,SK,,5.3,7.8,8.3,7.1,8.4,7.6,9.7,9.7,10.4,10.6,12.7
PC,NONE,Y16-29,F,TR,,28.0,26.1,26.3,29.1,33.0,27.4,28.3,43.2,55.1,57.6,60.0
PC,NONE,Y16-29,F,UK,,,,5.9,5.2 b,5.7,6.9,8.9,10.6,11.1,6.9,7.2
PC,NONE,Y16-29,F,XK,,,,42.6,,,,,,,,
PC,NONE,Y16-29,M,AL,,32.4,37.8,35.5,37.7,,,,,,,
