unit,lev_limit,lev_satis,age,sex,geo\time,i,v,flag
PC_POP,NONE,GOOD,Y16-29,T,HR,2012,73.8,
PC_POP,NONE,GOOD,Y16-29,T,HU,2012,67.5,
PC_POP,NONE,GOOD,Y16-29,T,HU,2007,48.4,
PC_POP,NONE,GOOD,Y16-29,T,IE,2012,46.9,
PC_POP,NONE,GOOD,Y16-29,T,IE,2007,43.9,
PC_POP,NONE,GOOD,Y16-29,T,IS,2012,42.8,
PC_POP,NONE,GOOD,Y16-29,T,IS,2007,29.6,
PC_POP,NONE,GOOD,Y16-29,T,IT,2012,71.0,
PC_POP,NONE,GOOD,Y16-29,T,IT,2007,65.7,
PC_POP,NONE,GOOD,Y16-29,T,LT,2012,71.9,
PC_POP,NONE,GOOD,Y16-29,T,LT,2007,52.3,
PC_POP,NONE,GOOD,Y16-29,T,LU,2012,39.6,
PC_POP,NONE,GOOD,Y16-29,T,LU,2007,43.1,
PC_POP,NONE,GOOD,Y16-29,T,LV,2012,69.5,
PC_POP,NONE,GOOD,Y16-29,T,LV,2007,63.4,
PC_POP,NONE,GOOD,Y16-29,T,MT,2012,58.3,
PC_POP,NONE,GOOD,Y16-29,T,MT,2007,67.6,
PC_POP,NONE,GOOD,Y16-29,T,NL,2012,37.1,
PC_POP,NONE,GOOD,Y16-29,T,NL,2007,35.3,
PC_POP,NONE,GOOD,Y16-29,T,NO,2012,50.1,
PC_POP,NONE,GOOD,Y16-29,T,NO,2007,51.6,
PC_POP,NONE,GOOD,Y16-29,T,PL,2012,63.7,
PC_POP,NONE,GOOD,Y16-29,T,PL,2007,70.1,
PC_POP,NONE,GOOD,Y16-29,T,PT,2012,69.6,
PC_POP,NONE,GOOD,Y16-29,T,PT,2007,60.3,
PC_POP,NONE,GOOD,Y16-29,T,RO,2012,80.9,
PC_POP,NONE,GOOD,Y16-29,T,RO,2007,17.5,
PC_POP,NONE,GOOD,Y16-29,T,SE,2012,38.6,
PC_POP,NONE,GOOD,Y16-29,T,SE,2007,45.4,
PC_POP,NONE,GOOD,Y16-29,T,SI,2012,59.2,
PC_POP,NONE,GOOD,Y16-29,T,SI,2007,57.7,
PC_POP,NONE,GOOD,Y16-29,T,SK,2012,75.5,
PC_POP,NONE,GOOD,Y16-29,T,SK,2007,61.0,
PC_POP,NONE,GOOD,Y16-29,T,TR,2007,50.3,
PC_POP,NONE,GOOD,Y16-29,T,UK,2012,46.9,
PC_POP,NONE,GOOD,Y16-29,T,UK,2007,43.0,
PC_POP,NONE,GOOD,Y16-64,F,AT,2012,38.5,
PC_POP,NONE,GOOD,Y16-64,F,AT,2007,44.7,
PC_POP,NONE,GOOD,Y16-64,F,BE,2012,49.3,
PC_POP,NONE,GOOD,Y16-64,F,BE,2007,48.4,
PC_POP,NONE,GOOD,Y16-64,F,BG,2012,73.1,
PC_POP,NONE,GOOD,Y16-64,F,BG,2007,59.6,
PC_POP,NONE,GOOD,Y16-64,F,CH,2012,37.7,
PC_POP,NONE,GOOD,Y16-64,F,CH,2007,33.6,
PC_POP,NONE,GOOD,Y16-64,F,CY,2012,62.7,
PC_POP,NONE,GOOD,Y16-64,F,CY,2007,60.3,
PC_POP,NONE,GOOD,Y16-64,F,CZ,2012,67.3,u
PC_POP,NONE,GOOD,Y16-64,F,CZ,2007,71.4,
PC_POP,NONE,GOOD,Y16-64,F,DE,2012,54.3,
