unit,incgrp,lev_limit,tenure,geo\time,i,v,flag
PC,A_MD60,NONE,OWN,LU,2010,73.5,
PC,A_MD60,NONE,OWN,LU,2009,75.3,
PC,A_MD60,NONE,OWN,LU,2008,77.7,
PC,A_MD60,NONE,OWN,LU,2007,79.0,
PC,A_MD60,NONE,OWN,LV,2021,86.3,
PC,A_MD60,NONE,OWN,LV,2020,84.3,
PC,A_MD60,NONE,OWN,LV,2019,81.7,
PC,A_MD60,NONE,OWN,LV,2018,83.6,
PC,A_MD60,NONE,OWN,LV,2017,83.7,
PC,A_MD60,NONE,OWN,LV,2016,83.7,
PC,A_MD60,NONE,OWN,LV,2015,82.9,
PC,A_MD60,NONE,OWN,LV,2014,84.0,
PC,A_MD60,NONE,OWN,LV,2013,84.8,
PC,A_MD60,NONE,OWN,LV,2012,85.3,
PC,A_MD60,NONE,OWN,LV,2011,86.3,
PC,A_MD60,NONE,OWN,LV,2010,88.1,
PC,A_MD60,NONE,OWN,LV,2009,90.2,
PC,A_MD60,NONE,OWN,LV,2008,89.0,
PC,A_MD60,NONE,OWN,LV,2007,88.7,
PC,A_MD60,NONE,OWN,ME,2020,91.1,
PC,A_MD60,NONE,OWN,ME,2019,91.8,
PC,A_MD60,NONE,OWN,ME,2018,91.8,
PC,A_MD60,NONE,OWN,ME,2017,90.0,
PC,A_MD60,NONE,OWN,ME,2016,91.8,
PC,A_MD60,NONE,OWN,ME,2015,88.9,
PC,A_MD60,NONE,OWN,ME,2014,89.6,
PC,A_MD60,NONE,OWN,ME,2013,87.9,
PC,A_MD60,NONE,OWN,MK,2020,87.9,
PC,A_MD60,NONE,OWN,MK,2019,86.9,
PC,A_MD60,NONE,OWN,MK,2018,90.3,
PC,A_MD60,NONE,OWN,MK,2017,90.5,
PC,A_MD60,NONE,OWN,MK,2016,91.5,
PC,A_MD60,NONE,OWN,MK,2015,91.8,
PC,A_MD60,NONE,OWN,MK,2014,90.1,
PC,A_MD60,NONE,OWN,MK,2013,89.1,
PC,A_MD60,NONE,OWN,MK,2012,90.4,
PC,A_MD60,NONE,OWN,MK,2011,91.9,
PC,A_MD60,NONE,OWN,MT,2020,84.9,
PC,A_MD60,NONE,OWN,MT,2019,83.4,
PC,A_MD60,NONE,OWN,MT,2018,85.0,
PC,A_MD60,NONE,OWN,MT,2017,85.4,
PC,A_MD60,NONE,OWN,MT,2016,85.2,
PC,A_MD60,NONE,OWN,MT,2015,83.0,
PC,A_MD60,NONE,OWN,MT,2014,82.0,
PC,A_MD60,NONE,OWN,MT,2013,82.8,
PC,A_MD60,NONE,OWN,MT,2012,84.0,
PC,A_MD60,NONE,OWN,MT,2011,82.6,
PC,A_MD60,NONE,OWN,MT,2010,81.4,
PC,A_MD60,NONE,OWN,MT,2009,80.4,
PC,A_MD60,NONE,OWN,MT,2008,82.5,
PC,A_MD60,NONE,OWN,MT,2007,80.9,
PC,A_MD60,NONE,OWN,MT,2006,81.5,
PC,A_MD60,NONE,OWN,MT,2005,80.7,
PC,A_MD60,NONE,OWN,NL,2020,76.8,
PC,A_MD60,NONE,OWN,NL,2019,76.3,
PC,A_MD60,NONE,OWN,NL,2018,75.0,
PC,A_MD60,NONE,OWN,NL,2017,76.6,
PC,A_MD60,NONE,OWN,NL,2016,76.6,
PC,A_MD60,NONE,OWN,NL,2015,74.1,
PC,A_MD60,NONE,OWN,NL,2014,73.5,
PC,A_MD60,NONE,OWN,NL,2013,73.1,
PC,A_MD60,NONE,OWN,NL,2012,72.2,
PC,A_MD60,NONE,OWN,NL,2011,72.4,
PC,A_MD60,NONE,OWN,NL,2010,72.5,
PC,A_MD60,NONE,OWN,NL,2009,73.0,
PC,A_MD60,NONE,OWN,NL,2008,72.8,
PC,A_MD60,NONE,OWN,NL,2007,70.6,
PC,A_MD60,NONE,OWN,NL,2006,70.0,
PC,A_MD60,NONE,OWN,NL,2005,67.9,
PC,A_MD60,NONE,OWN,NO,2020,87.4,
PC,A_MD60,NONE,OWN,NO,2019,83.5,
PC,A_MD60,NONE,OWN,NO,2018,88.0,
PC,A_MD60,NONE,OWN,NO,2017,87.1,
PC,A_MD60,NONE,OWN,NO,2016,89.1,
PC,A_MD60,NONE,OWN,NO,2015,88.7,
PC,A_MD60,NONE,OWN,NO,2014,89.2,
PC,A_MD60,NONE,OWN,NO,2013,88.5,
PC,A_MD60,NONE,OWN,NO,2012,89.4,
PC,A_MD60,NONE,OWN,NO,2011,88.5,
PC,A_MD60,NONE,OWN,NO,2010,88.0,
PC,A_MD60,NONE,OWN,NO,2009,90.2,
PC,A_MD60,NONE,OWN,NO,2008,90.4,
PC,A_MD60,NONE,OWN,NO,2007,88.8,
PC,A_MD60,NONE,OWN,NO,2006,87.9,
PC,A_MD60,NONE,OWN,NO,2005,86.5,
PC,A_MD60,NONE,OWN,PL,2020,86.3,
PC,A_MD60,NONE,OWN,PL,2019,84.7,
PC,A_MD60,NONE,OWN,PL,2018,85.5,
